Date,Open,High,Low,Close,Adj Close,Volume
2021-06-07,552.7000122070312,567.0,548.25,562.1500244140625,559.3828735351562,144081
2021-06-08,567.9500122070312,572.4000244140625,562.5,567.6500244140625,564.8557739257812,75200
2021-06-09,570.5,575.0,546.7000122070312,552.25,549.5315551757812,79559
2021-06-10,554.25,565.0,548.1500244140625,554.3499755859375,551.6212158203125,91502
2021-06-11,559.9500122070312,575.0,557.3499755859375,571.9500122070312,569.1346435546875,148713
2021-06-14,575.0,583.2000122070312,561.2000122070312,574.9000244140625,572.0701293945312,93663
2021-06-15,580.0,584.0499877929688,573.6500244140625,574.4000244140625,571.5725708007812,50240
2021-06-16,575.0,582.4000244140625,566.0999755859375,568.4000244140625,565.6021118164062,50630
2021-06-17,568.9000244140625,579.5,561.9500122070312,565.4500122070312,562.6666259765625,71127
2021-06-18,568.25,568.25,543.0,556.9500122070312,554.2084350585938,71639
2021-06-21,552.9000244140625,567.0,548.0,560.9000244140625,558.1390380859375,84761
2021-06-22,570.0,574.9000244140625,562.5,565.7000122070312,562.9154052734375,96162
2021-06-23,566.0,641.7999877929688,566.0,614.5,611.4751586914062,1416926
2021-06-24,621.2000122070312,628.7000122070312,604.5,616.7000122070312,613.6643676757812,282266
2021-06-25,625.0,625.7999877929688,598.0499877929688,601.5,598.5391235351562,81441
2021-06-28,599.0,625.0,599.0,613.4000244140625,610.380615234375,150396
2021-06-29,615.2000122070312,623.7000122070312,602.0999755859375,606.0,603.0169677734375,69625
2021-06-30,608.8499755859375,613.75,597.5499877929688,605.9500122070312,602.9672241210938,48096
2021-07-01,604.2000122070312,618.2000122070312,604.2000122070312,607.2000122070312,604.2111206054688,45633
2021-07-02,607.5999755859375,616.9000244140625,601.0,603.75,600.778076171875,36218
2021-07-05,604.6500244140625,612.9000244140625,604.6500244140625,606.6500244140625,603.663818359375,65666
2021-07-06,609.7999877929688,696.7999877929688,601.5499877929688,641.9000244140625,638.7402954101562,3918871
2021-07-07,644.7000122070312,669.0,640.1500244140625,648.2000122070312,645.00927734375,626114
2021-07-08,648.25,665.9500122070312,631.0,639.1500244140625,636.0038452148438,252351
2021-07-09,642.0,658.9500122070312,638.4500122070312,644.3499755859375,641.17822265625,237986
2021-07-12,649.9500122070312,658.25,641.0999755859375,645.5499877929688,642.372314453125,101691
2021-07-13,652.0499877929688,665.0,645.25,649.4000244140625,646.203369140625,254354
2021-07-14,650.0499877929688,662.7999877929688,645.0,647.5999755859375,644.4121704101562,128863
2021-07-15,653.5999755859375,654.9000244140625,635.0,638.7000122070312,635.5560302734375,100022
2021-07-16,641.9000244140625,652.5499877929688,632.0999755859375,634.2999877929688,631.1776733398438,67545
2021-07-19,630.0,648.9500122070312,624.9500122070312,637.6500244140625,634.51123046875,79249
2021-07-20,645.0,645.0,610.0999755859375,613.7999877929688,610.778564453125,115961
2021-07-22,622.0,624.9000244140625,607.7999877929688,609.5499877929688,606.5494995117188,83927
2021-07-23,612.0,617.9000244140625,600.1500244140625,602.2999877929688,599.335205078125,66786
2021-07-26,605.0,613.9000244140625,595.4000244140625,599.0499877929688,596.1011962890625,85102
2021-07-27,604.9500122070312,607.8499755859375,586.0999755859375,588.0999755859375,585.205078125,53863
2021-07-28,590.0,599.0,577.0,587.5999755859375,584.70751953125,89567
2021-07-29,590.5499877929688,599.0,588.7999877929688,593.9500122070312,591.0263061523438,40457
2021-07-30,598.8499755859375,620.0,594.5499877929688,609.4500122070312,606.4500122070312,78987
2021-08-02,611.0,651.75,611.0,644.0499877929688,644.0499877929688,343242
2021-08-03,644.5999755859375,658.75,631.25,633.0999755859375,633.0999755859375,116456
2021-08-04,633.9500122070312,648.9000244140625,615.0,620.1500244140625,620.1500244140625,105317
2021-08-05,604.0999755859375,628.0,600.3499755859375,617.75,617.75,77042
2021-08-06,622.0,630.7000122070312,604.5,609.9000244140625,609.9000244140625,77719
2021-08-09,614.5,616.7999877929688,600.9000244140625,602.7999877929688,602.7999877929688,50283
2021-08-10,603.9500122070312,608.0,570.7999877929688,579.4000244140625,579.4000244140625,85993
2021-08-11,581.0,607.7999877929688,561.0,603.5499877929688,603.5499877929688,317744
2021-08-12,605.0,616.5,600.5499877929688,602.75,602.75,84712
2021-08-13,600.0999755859375,607.0,592.2000122070312,596.1500244140625,596.1500244140625,68679
2021-08-16,594.0499877929688,601.4000244140625,588.0499877929688,591.5499877929688,591.5499877929688,40060
2021-08-17,583.0,610.0,583.0,594.2000122070312,594.2000122070312,81925
2021-08-18,594.0,603.5999755859375,589.7000122070312,592.4000244140625,592.4000244140625,36543
2021-08-20,582.0,589.9500122070312,580.0,581.25,581.25,42565
2021-08-23,584.4500122070312,589.4500122070312,562.0499877929688,564.2999877929688,564.2999877929688,39265
